,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,0.02308786519312835,0.26950432213590103,0.2701608491082175,0.410219936535726,0.24543166648429807
1,eli5_rf,0.02308786519312835,1.0,0.001641317430791115,-0.07867381551592079,0.20538352117299488,0.2927016084910822
2,dalex_rf,0.26950432213590103,0.001641317430791115,1.0,0.14366998577524895,0.05722726775358354,0.36251230988073097
3,ci_rf,0.2701608491082175,-0.07867381551592079,0.14366998577524895,1.0,0.1294452347083926,0.21545026808184703
4,skater_rf,0.410219936535726,0.20538352117299488,0.05722726775358354,0.1294452347083926,1.0,0.10821752927016084
5,lofo_rf,0.24543166648429807,0.2927016084910822,0.36251230988073097,0.21545026808184703,0.10821752927016084,1.0
