,tool,tshap_gb,eli5_gb,dalex_gb,ci_gb,skater_gb,lofo_gb
0,tshap_gb,0.9999999999999999,0.8999999999999998,0.0,0.3,0.0,0.09999999999999999
1,eli5_gb,0.8999999999999998,0.9999999999999999,-0.09999999999999999,0.09999999999999999,0.09999999999999999,0.49999999999999994
2,dalex_gb,0.0,-0.09999999999999999,0.9999999999999999,-0.7,-0.9999999999999999,-0.39999999999999997
3,ci_gb,0.3,0.09999999999999999,-0.7,0.9999999999999999,0.7,-0.09999999999999999
4,skater_gb,0.0,0.09999999999999999,-0.9999999999999999,0.7,0.9999999999999999,0.39999999999999997
5,lofo_gb,0.09999999999999999,0.49999999999999994,-0.39999999999999997,-0.09999999999999999,0.39999999999999997,0.9999999999999999
