,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,0.29009009009009007,0.31222651222651226,0.1837837837837838,0.20694980694980697,0.12664092664092666
1,eli5_rf,0.29009009009009007,1.0,-0.17297297297297298,-0.08906048906048908,0.0918918918918919,0.027799227799227798
2,dalex_rf,0.31222651222651226,-0.17297297297297298,1.0,-0.12535392535392537,0.07387387387387387,0.011068211068211068
3,ci_rf,0.1837837837837838,-0.08906048906048908,-0.12535392535392537,1.0,-0.018532818532818532,-0.0020592020592020595
4,skater_rf,0.20694980694980697,0.0918918918918919,0.07387387387387387,-0.018532818532818532,1.0,0.021364221364221368
5,lofo_rf,0.12664092664092666,0.027799227799227798,0.011068211068211068,-0.0020592020592020595,0.021364221364221368,1.0
