,tool,tshap_gb,eli5_gb,dalex_gb,ci_gb,skater_gb,lofo_gb
0,tshap_gb,1.0,0.2153846153846154,0.07408906882591094,0.4194331983805668,0.18137651821862347,0.2396761133603239
1,eli5_gb,0.2153846153846154,1.0,-0.021052631578947368,0.35627530364372473,0.31538461538461543,0.17874493927125507
2,dalex_gb,0.07408906882591094,-0.021052631578947368,1.0,0.06781376518218624,0.03967611336032389,-0.02874493927125506
3,ci_gb,0.4194331983805668,0.35627530364372473,0.06781376518218624,1.0,0.3125506072874494,0.22651821862348182
4,skater_gb,0.18137651821862347,0.31538461538461543,0.03967611336032389,0.3125506072874494,1.0,0.38603238866396766
5,lofo_gb,0.2396761133603239,0.17874493927125507,-0.02874493927125506,0.22651821862348182,0.38603238866396766,1.0
