,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,0.10676691729323308,0.19248120300751878,-0.24060150375939846,0.34285714285714286,0.12330827067669171
1,eli5_rf,0.10676691729323308,1.0,-0.1789473684210526,0.4601503759398496,0.15939849624060148,0.1639097744360902
2,dalex_rf,0.19248120300751878,-0.1789473684210526,1.0,-0.22857142857142856,0.14436090225563908,-0.007518796992481202
3,ci_rf,-0.24060150375939846,0.4601503759398496,-0.22857142857142856,1.0,-0.06165413533834586,0.26616541353383455
4,skater_rf,0.34285714285714286,0.15939849624060148,0.14436090225563908,-0.06165413533834586,1.0,0.05563909774436089
5,lofo_rf,0.12330827067669171,0.1639097744360902,-0.007518796992481202,0.26616541353383455,0.05563909774436089,1.0
