,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,0.7639751552795032,0.1993224167137211,0.8249576510446077,0.4703557312252965,0.017504234895539244
1,eli5_rf,0.7639751552795032,1.0,0.3156408808582722,0.6070016939582158,0.6905702992659515,0.07284020327498589
2,dalex_rf,0.1993224167137211,0.3156408808582722,1.0,0.453416149068323,0.19706380575945792,0.34613212874082444
3,ci_rf,0.8249576510446077,0.6070016939582158,0.453416149068323,1.0,0.3788819875776398,0.03444381705251271
4,skater_rf,0.4703557312252965,0.6905702992659515,0.19706380575945792,0.3788819875776398,1.0,0.009599096555618296
5,lofo_rf,0.017504234895539244,0.07284020327498589,0.34613212874082444,0.03444381705251271,0.009599096555618296,1.0
