,tool,tshap_gb,eli5_gb,dalex_gb,ci_gb,skater_gb,lofo_gb
0,tshap_gb,1.0,0.06383689839572193,-0.08322192513368984,0.26236631016042783,0.5561497326203209,0.059826203208556146
1,eli5_gb,0.06383689839572193,1.0,-0.09024064171122995,0.4435160427807487,0.45621657754010697,0.021056149732620322
2,dalex_gb,-0.08322192513368984,-0.09024064171122995,1.0,-0.17847593582887702,-0.12165775401069519,-0.26370320855614976
3,ci_gb,0.26236631016042783,0.4435160427807487,-0.17847593582887702,1.0,0.42546791443850274,0.18449197860962568
4,skater_gb,0.5561497326203209,0.45621657754010697,-0.12165775401069519,0.42546791443850274,1.0,0.04010695187165776
5,lofo_gb,0.059826203208556146,0.021056149732620322,-0.26370320855614976,0.18449197860962568,0.04010695187165776,1.0
