,tool,tshap_gb,eli5_gb,dalex_gb,ci_gb,skater_gb,lofo_gb
0,tshap_gb,1.0,0.3494505494505495,0.24395604395604395,0.767032967032967,0.956043956043956,0.16043956043956045
1,eli5_gb,0.3494505494505495,1.0,-0.006593406593406593,0.45494505494505494,0.37142857142857144,0.05054945054945055
2,dalex_gb,0.24395604395604395,-0.006593406593406593,1.0,-0.2,0.2879120879120879,0.22637362637362637
3,ci_gb,0.767032967032967,0.45494505494505494,-0.2,1.0,0.7142857142857143,0.24835164835164836
4,skater_gb,0.956043956043956,0.37142857142857144,0.2879120879120879,0.7142857142857143,1.0,-0.015384615384615385
5,lofo_gb,0.16043956043956045,0.05054945054945055,0.22637362637362637,0.24835164835164836,-0.015384615384615385,1.0
