,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,-0.11038961038961038,0.4506493506493507,-0.47792207792207797,0.04675324675324675,0.032467532467532464
1,eli5_rf,-0.11038961038961038,1.0,-0.16753246753246753,0.04675324675324675,0.05324675324675325,0.025974025974025972
2,dalex_rf,0.4506493506493507,-0.16753246753246753,1.0,-0.04935064935064935,0.0012987012987012987,0.07922077922077922
3,ci_rf,-0.47792207792207797,0.04675324675324675,-0.04935064935064935,1.0,-0.06363636363636363,-0.374025974025974
4,skater_rf,0.04675324675324675,0.05324675324675325,0.0012987012987012987,-0.06363636363636363,1.0,0.12987012987012986
5,lofo_rf,0.032467532467532464,0.025974025974025972,0.07922077922077922,-0.374025974025974,0.12987012987012986,1.0
