,tool,tshap_gb,eli5_gb,dalex_gb,ci_gb,skater_gb,lofo_gb
0,tshap_gb,1.0,0.4812030075187969,-0.13082706766917293,0.019548872180451125,0.6180451127819548,0.10827067669172932
1,eli5_gb,0.4812030075187969,1.0,0.45714285714285713,0.5308270676691729,0.6962406015037594,0.24661654135338343
2,dalex_gb,-0.13082706766917293,0.45714285714285713,1.0,0.29323308270676685,0.31127819548872177,0.07969924812030074
3,ci_gb,0.019548872180451125,0.5308270676691729,0.29323308270676685,1.0,0.29323308270676685,0.32631578947368417
4,skater_gb,0.6180451127819548,0.6962406015037594,0.31127819548872177,0.29323308270676685,1.0,0.4270676691729323
5,lofo_gb,0.10827067669172932,0.24661654135338343,0.07969924812030074,0.32631578947368417,0.4270676691729323,1.0
