,tool,tshap_gb,eli5_gb,dalex_gb,ci_gb,skater_gb,lofo_gb
0,tshap_gb,1.0,0.13186813186813187,0.2692307692307692,-0.4505494505494505,0.30769230769230765,-0.24725274725274726
1,eli5_gb,0.13186813186813187,1.0,0.2967032967032967,-0.1043956043956044,0.26373626373626374,0.13736263736263735
2,dalex_gb,0.2692307692307692,0.2967032967032967,1.0,-0.17032967032967034,0.6098901098901099,0.03296703296703297
3,ci_gb,-0.4505494505494505,-0.1043956043956044,-0.17032967032967034,1.0,-0.14835164835164835,0.19230769230769232
4,skater_gb,0.30769230769230765,0.26373626373626374,0.6098901098901099,-0.14835164835164835,1.0,0.16483516483516483
5,lofo_gb,-0.24725274725274726,0.13736263736263735,0.03296703296703297,0.19230769230769232,0.16483516483516483,1.0
