,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,0.29832689832689835,0.014414414414414415,0.09781209781209782,0.21570141570141574,0.42368082368082366
1,eli5_rf,0.29832689832689835,1.0,0.024453024453024455,-0.051480051480051484,0.27541827541827546,0.4442728442728443
2,dalex_rf,0.014414414414414415,0.024453024453024455,1.0,0.059202059202059204,0.07541827541827544,0.006692406692406694
3,ci_rf,0.09781209781209782,-0.051480051480051484,0.059202059202059204,1.0,0.06357786357786357,0.303989703989704
4,skater_rf,0.21570141570141574,0.27541827541827546,0.07541827541827544,0.06357786357786357,1.0,0.3683397683397684
5,lofo_rf,0.42368082368082366,0.4442728442728443,0.006692406692406694,0.303989703989704,0.3683397683397684,1.0
