,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,0.8675324675324675,-0.2662337662337662,0.28181818181818186,0.5051948051948052,0.4207792207792207
1,eli5_rf,0.8675324675324675,1.0,-0.45454545454545453,0.3311688311688311,0.5428571428571428,0.40129870129870127
2,dalex_rf,-0.2662337662337662,-0.45454545454545453,1.0,-0.05064935064935065,-0.36233766233766235,-0.4584415584415585
3,ci_rf,0.28181818181818186,0.3311688311688311,-0.05064935064935065,1.0,-0.04805194805194805,0.024675324675324677
4,skater_rf,0.5051948051948052,0.5428571428571428,-0.36233766233766235,-0.04805194805194805,1.0,0.22077922077922077
5,lofo_rf,0.4207792207792207,0.40129870129870127,-0.4584415584415585,0.024675324675324677,0.22077922077922077,1.0
