,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,0.12406692406692407,0.0023166023166023165,0.1904761904761905,-0.012870012870012871,0.07541827541827544
1,eli5_rf,0.12406692406692407,1.0,-0.048133848133848134,0.050965250965250966,0.3562419562419563,0.054054054054054064
2,dalex_rf,0.0023166023166023165,-0.048133848133848134,1.0,-0.14285714285714285,-0.21595881595881597,-0.15186615186615188
3,ci_rf,0.1904761904761905,0.050965250965250966,-0.14285714285714285,1.0,0.15315315315315317,0.027799227799227798
4,skater_rf,-0.012870012870012871,0.3562419562419563,-0.21595881595881597,0.15315315315315317,1.0,-0.0018018018018018018
5,lofo_rf,0.07541827541827544,0.054054054054054064,-0.15186615186615188,0.027799227799227798,-0.0018018018018018018,1.0
