,tool,tshap_rf,eli5_rf,dalex_rf,ci_rf,skater_rf,lofo_rf
0,tshap_rf,1.0,0.6453837597330366,0.29076751946607343,0.13592880978865407,0.5888765294771968,-0.10389321468298107
1,eli5_rf,0.6453837597330366,1.0,0.3125695216907675,0.23737486095661847,0.625361512791991,-0.007341490545050056
2,dalex_rf,0.29076751946607343,0.3125695216907675,1.0,-0.2413793103448276,0.10567296996662959,0.09187986651835373
3,ci_rf,0.13592880978865407,0.23737486095661847,-0.2413793103448276,1.0,0.32547274749721916,-0.1479421579532814
4,skater_rf,0.5888765294771968,0.625361512791991,0.10567296996662959,0.32547274749721916,1.0,0.07052280311457175
5,lofo_rf,-0.10389321468298107,-0.007341490545050056,0.09187986651835373,-0.1479421579532814,0.07052280311457175,1.0
