,tool,tshap_gb,eli5_gb,dalex_gb,ci_gb,skater_gb,lofo_gb
0,tshap_gb,1.0,0.08311688311688312,-0.2597402597402597,0.2532467532467532,0.7441558441558441,0.26493506493506497
1,eli5_gb,0.08311688311688312,1.0,0.06103896103896104,0.00909090909090909,0.17142857142857143,0.024675324675324677
2,dalex_gb,-0.2597402597402597,0.06103896103896104,1.0,0.012987012987012986,-0.2584415584415584,0.033766233766233764
3,ci_gb,0.2532467532467532,0.00909090909090909,0.012987012987012986,1.0,0.13376623376623376,-0.04155844155844156
4,skater_gb,0.7441558441558441,0.17142857142857143,-0.2584415584415584,0.13376623376623376,1.0,-0.11688311688311687
5,lofo_gb,0.26493506493506497,0.024675324675324677,0.033766233766233764,-0.04155844155844156,-0.11688311688311687,1.0
